2026-07-23 23:54:31,254 | POST http://testserver/shorten | UA: testclient | IP: testclient
2026-07-23 23:54:31,258 | GET http://testserver/redirect?code=mz7fOD | UA: testclient | IP: testclient
2026-07-23 23:54:31,263 | POST http://testserver/shorten | UA: testclient | IP: testclient
2026-07-23 23:54:31,266 | DELETE http://testserver/urls/scnE9B | UA: testclient | IP: testclient
2026-07-23 23:54:31,267 | GET http://testserver/redirect?code=scnE9B | UA: testclient | IP: testclient
2026-07-23 23:54:31,270 | DELETE http://testserver/urls/nonexistent123 | UA: testclient | IP: testclient
2026-07-23 23:54:31,273 | GET http://testserver/redirect?code=nonexistent123 | UA: testclient | IP: testclient
2026-07-23 23:54:31,276 | POST http://testserver/shorten | UA: testclient | IP: testclient
2026-07-23 23:54:31,278 | GET http://testserver/redirect?code=qXXIKx | UA: testclient | IP: testclient
2026-07-23 23:54:31,280 | GET http://testserver/redirect?code=qXXIKx | UA: testclient | IP: testclient
2026-07-23 23:54:31,283 | POST http://testserver/shorten | UA: testclient | IP: testclient
2026-07-23 23:54:31,286 | GET http://testserver/redirect?code=X0tlvK | UA: testclient | IP: testclient
2026-07-23 23:54:31,289 | POST http://testserver/shorten | UA: testclient | IP: testclient
2026-07-23 23:54:31,292 | POST http://testserver/shorten | UA: testclient | IP: testclient
2026-07-23 23:54:31,294 | GET http://testserver/redirect?code=bhNyoS | UA: testclient | IP: testclient
2026-07-23 23:54:31,296 | GET http://testserver/redirect?code=NoxRKa | UA: testclient | IP: testclient
2026-07-23 23:54:31,298 | GET http://testserver/redirect?code=bhNyoS | UA: testclient | IP: testclient
2026-07-23 23:54:31,306 | POST http://testserver/shorten | UA: testclient | IP: testclient
2026-07-23 23:54:31,309 | POST http://testserver/shorten | UA: testclient | IP: testclient
2026-07-23 23:54:31,313 | POST http://testserver/shorten | UA: testclient | IP: testclient
2026-07-23 23:54:31,315 | DELETE http://testserver/urls/4ITMW4 | UA: testclient | IP: testclient
2026-07-23 23:54:31,316 | GET http://testserver/redirect?code=4ITMW4 | UA: testclient | IP: testclient
2026-07-23 23:54:31,320 | POST http://testserver/shorten | UA: testclient | IP: testclient
2026-07-23 23:54:31,324 | POST http://testserver/shorten | UA: testclient | IP: testclient
2026-07-23 23:54:31,326 | POST http://testserver/shorten | UA: testclient | IP: testclient
2026-07-23 23:54:31,329 | POST http://testserver/shorten | UA: testclient | IP: testclient
2026-07-23 23:54:31,332 | DELETE http://testserver/urls/wXSHFM | UA: testclient | IP: testclient
2026-07-23 23:54:31,333 | GET http://testserver/redirect?code=wXSHFM | UA: testclient | IP: testclient
2026-07-23 23:54:31,337 | POST http://testserver/shorten | UA: testclient | IP: testclient
2026-07-23 23:54:31,338 | DELETE http://testserver/urls/NON4Ws | UA: testclient | IP: testclient
2026-07-23 23:54:31,341 | GET http://testserver/redirect?code=NON4Ws | UA: testclient | IP: testclient
2026-07-23 23:54:31,344 | POST http://testserver/shorten | UA: testclient | IP: testclient
2026-07-23 23:54:31,348 | POST http://testserver/shorten | UA: testclient | IP: testclient
2026-07-23 23:54:31,351 | DELETE http://testserver/urls/3uOoIS | UA: testclient | IP: testclient
2026-07-23 23:54:31,354 | POST http://testserver/shorten | UA: testclient | IP: testclient
2026-07-23 23:54:31,356 | GET http://testserver/redirect?code=7p9Q0s | UA: testclient | IP: testclient
